Reaction_ID,RAS
BHBtm,NaN
BHMT,0.33333
BILDGLCURt,1.3333
BILDGLCURte,209
BILDGLCURtr,NaN
BILGLCURt,25.3333
BILGLCURte,130.3333
BILGLCURtr,NaN
BILIRED,127.6667
BILIRUBt2,1.3333
BILIRUBtr,NaN
BIOCYTtn,NaN
BMTer_U,12.6667
BPNT2,25.3333
BTND1,93.3333
BTND1n,93.3333
BTNDe,93.3333
BTNDm,93.3333
BTNPL,17
BTNPLm,17
BTNt2,39.3333
BTNt2m,39.3333
BTNt3i,94.3333
BTNt4i,0
BTNtn,NaN
BUP2,1
BUTt2m,39.3333
BVITEt,NaN
BZt,NaN
BZtr,NaN
C14STRr,6.3333
C160CPT1,13
C160CPT2,18.3333
C160CRNt,3
C161CPT1,16
C161CPT12,16
C161CPT2,13.3333
C161CPT22,13.3333
C161CRN2t,3
C161CRNt,3
C180CPT1,16
C180CPT2,13.3333
C180CRNt,3
C181CPT1,16
C181CPT2,13.3333
C181CRNt,3
C204CPT1,16
C204CPT2,13.3333
C204CRNt,3
C226COAtx,NaN
C226CPT1,16
C226CPT2,13.3333
C226CRNt,NaN
C3STDH1Pr,29.6667
C3STDH1r,29.6667
C3STKR2r,84
C4STMO1r,87
C4STMO2Pr,29.6667
C4STMO2r,116.6667
CAATPS,313.6666
CAROtr,NaN
CARVEOLte,NaN
CAT2p,46.3333
CAt7r,32.6664
CATm,46.3333
CATp,46.3333
CBL2OR,NaN
CBL2tm,2.3333
CBPPer,64.3333
CBPSam,86.6666
CBPter,NaN
CBR2,35.6667
CDIPTr,72.6666
CDPDAGtm,NaN
CDS,88
CDSm,88
CEPTC,66
CEPTE,17
CERK,156
CERT1gt,54.6667
CERT1rt,54.6667
CERT2gt,54.6667
CERT2rt,54.6667
CGLYt3_2_,1
CH25H,0
CHAT,0
CHATn,0
CHLP,4.3333
CHLPCTD,125.6667
CHLtm,NaN
CHOLATEt,14.6666
CHOLATEt2,5.6667
CHOLATEt3,151.6667
CHOLD2m,3
CHOLK,74.6666
CHOLPtg,NaN
CHOLPtl,NaN
CHOLt4,0
CHOLtg,NaN
CHOLtn,NaN
CHOLtr,NaN
CHOLtu,29.6667
CHSTEROLSULT,3
CHSTEROLt1,35
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CHSTEROLtg,6.3333
CHTNASE,12.3333
CHTNASEe,0
CITMCOAHm,NaN
CITMCOALm,NaN
CITRtm,36.3333
CITt4_2,0
CITtam,74.6667
CITtbm,74.6667
CK,10
CKc,39
CLFORtex,1
CLHCO3tex2,102.9999
CLI2tex,1
CLOHtex2,102.9999
CLOXAtex2,102.9999
CLPNDCOAtx,NaN
